id,risk_score,risk_level,component_interest_rate,component_debt_to_income,component_revol_util,component_delinq_2yrs,component_term,component_fico,component_annual_income
800040,0.6811,高风险,0.6009,1.0,0.508,0.0,0.0,1.0,1.0
800041,0.5134,中风险,0.3327,0.5988,0.3609,0.5,0.0,0.8352,0.7068
800042,0.0001,低风险,0.0,0.0,0.0011,0.0,0.0,0.0,0.0
800043,0.4016,中风险,0.4101,0.2793,0.3052,0.5,0.0,0.7802,0.0009
800044,0.2988,低风险,0.1004,0.2226,0.3423,0.0,0.0,0.5055,1.0
800045,0.3249,低风险,0.2998,0.1704,0.9123,0.0,1.0,0.3407,0.0
800046,0.4951,中风险,0.3469,0.4315,0.644,0.0,0.0,1.0,0.6187
800047,0.433,中风险,0.3358,0.6097,0.7083,0.0,0.0,0.5604,0.5792
800048,0.2568,低风险,0.1307,0.4558,0.0394,0.0,0.0,0.4505,0.5513
800049,0.548,中风险,0.6492,0.1475,0.7318,0.0,0.0,1.0,0.5792
800050,0.5441,中风险,0.6145,0.3681,1.0,0.0,0.0,0.9451,0.155
800051,0.422,中风险,0.2428,0.4311,0.5401,0.0,0.0,0.9451,0.4148
800052,0.1197,低风险,0.0508,0.0,0.0036,0.0,0.0,0.2308,0.5792
800053,0.5009,中风险,0.5563,0.5731,0.7392,0.0,1.0,0.1209,1.0
800054,0.5358,中风险,1.0,0.4864,0.0234,0.0,1.0,0.2857,0.5335
800055,0.4556,中风险,0.3358,0.225,0.4276,0.0,0.0,1.0,0.7832
800056,0.8029,高风险,1.0,0.4526,0.9086,0.5,1.0,0.8901,0.6611
800057,0.4994,中风险,0.4287,0.7563,0.9988,0.0,0.0,0.7253,0.1241
800058,0.8526,高风险,0.9961,0.8884,0.9222,0.0,1.0,1.0,0.7832
800059,0.4959,中风险,0.5197,0.8969,0.9333,0.0,0.0,0.5604,0.0
800060,0.7175,高风险,0.9552,0.9574,0.5031,0.0,1.0,0.6154,0.6395
800061,0.1807,低风险,0.1127,0.3945,0.0802,0.0,0.0,0.2308,0.3348
800062,0.1725,低风险,0.5309,0.0,0.0,0.0,0.0,0.0659,0.0
800063,0.6364,中风险,0.7545,0.3265,0.7207,0.0,0.0,0.9451,1.0
800064,0.1702,低风险,0.1481,0.4103,0.0431,0.0,0.0,0.0659,0.4671
800065,0.415,中风险,0.3358,0.2088,0.4487,0.0,0.0,0.9451,0.4911
800066,0.7318,高风险,0.7669,1.0,0.7231,0.0,1.0,0.6703,0.9531
800067,0.4764,中风险,0.3977,0.5713,1.0,0.0,0.0,0.6154,0.483
800068,0.2838,低风险,0.3048,0.4276,0.2002,0.0,0.0,0.3407,0.4006
800069,0.4414,中风险,0.1127,0.2412,0.8183,1.0,0.0,0.8901,0.1156
800070,0.386,中风险,0.228,0.7045,0.9988,0.0,0.0,0.5604,0.0
800071,0.0988,低风险,0.0,0.0306,0.2496,0.0,0.0,0.0659,0.5605
800072,0.3913,中风险,0.3413,0.4621,0.9197,0.0,0.0,0.5055,0.2648
800073,0.4051,中风险,0.2738,0.0492,0.5599,0.0,0.0,1.0,0.596
800074,0.0921,低风险,0.0,0.0,0.0,0.0,0.0,0.0,0.9211
800075,0.277,低风险,0.2119,0.7598,0.0,0.0,0.0,0.2308,0.5335
800076,0.3291,低风险,0.026,0.6749,0.4103,0.0,0.0,0.3956,0.9989
800077,0.573,中风险,0.591,0.2264,0.8134,0.0,0.0,1.0,0.804
800078,0.5038,中风险,0.3667,0.5668,0.0889,0.5,0.0,0.8901,0.7189
800079,0.7716,高风险,0.6765,0.9648,0.4425,1.0,0.0,1.0,0.7969
800080,0.7146,高风险,1.0,0.3089,1.0,0.0,1.0,1.0,0.1829
800081,0.1419,低风险,0.065,0.324,0.2039,0.0,0.0,0.0,0.5335
800082,0.6547,中风险,0.4906,0.9243,0.9086,0.0,0.0,0.8901,1.0
800083,0.6774,高风险,0.9243,0.5562,0.3782,0.0,1.0,0.8352,0.6187
800084,0.5875,中风险,0.9552,0.4819,0.3683,0.0,1.0,0.5055,0.4077
800085,0.6059,中风险,0.7545,0.7218,0.4746,0.0,1.0,0.7253,0.2872
800086,0.4764,中风险,0.3382,0.2342,0.9889,0.0,0.0,0.8901,0.629
800087,0.3777,中风险,0.1307,0.1944,0.8554,0.0,0.0,0.9451,0.3474
800088,0.3456,中风险,0.1127,0.7041,0.0753,0.0,0.0,0.5055,0.9755
800089,0.5026,中风险,0.3748,0.5565,0.6897,0.0,0.0,0.8352,0.7068
800090,0.4984,中风险,0.5594,0.5544,0.7256,0.0,1.0,0.4505,0.3474
800091,0.6049,中风险,0.5526,0.366,0.5983,0.0,1.0,1.0,0.7437
800092,0.0988,低风险,0.0,0.0408,0.2607,0.0,0.0,0.2857,0.0948
800093,0.2726,低风险,0.1611,0.2434,0.6724,0.0,0.0,0.4505,0.3046
800094,0.4063,中风险,0.3748,0.5978,0.4314,0.0,0.0,0.6154,0.3801
800095,0.4007,中风险,0.3048,0.3226,0.6514,0.0,0.0,0.8352,0.2872
800096,0.3819,中风险,0.1611,0.4945,0.7355,0.0,0.0,0.6703,0.5174
800097,0.4307,中风险,0.4597,0.5942,0.0567,0.0,0.0,0.6703,0.6395
800098,0.3313,中风险,0.4058,0.1074,0.0,0.0,1.0,0.4505,0.5335
800099,0.5556,中风险,0.591,0.7211,0.8851,0.0,1.0,0.3956,0.5247
